Rank;Player;Nationality;Position;Team;Born;Minutes played;Goals;Shots;Shots on target;Penalty goals;Penalty attempts
294;Jan Virgili;ESP;MF,FW;Mallorca;2006;1467;0;26;11;0;0
295;Martin Valjent;SVK;DF;Mallorca;1995;2700;0;14;7;0;0
296;Pablo Torre;ESP;MF,FW;Mallorca;2003;1044;3;12;7;0;0
297;Antonio Sánchez;ESP;MF,DF;Mallorca;1997;972;0;6;3;0;0
298;Jan Salas;ESP;MF;Mallorca;2005;18;0;0;0;0;0
299;Leo Román;ESP;GK;Mallorca;2000;2250;0;0;0;0;0
300;Dani Rodríguez;ESP;FW,MF;Mallorca;1988;72;0;1;0;0;0
301;Antonio Raillo;ESP;DF;Mallorca;1991;2034;0;12;1;0;0
302;Abdón Prats;ESP;FW;Mallorca;1992;90;0;4;1;0;0
303;Vedat Muriqi;KVX;FW;Mallorca;1994;2412;19;88;40;5;7
304;Manu Morlanes;ESP;MF;Mallorca;1999;1197;2;8;3;0;0
305;Mateu Morey;ESP;DF,MF;Mallorca;2000;630;1;4;2;0;0
306;Johan Mojica;COL;DF;Mallorca;1992;2223;0;14;2;0;0
307;Omar Mascarell;EQG;MF;Mallorca;1993;1665;1;3;2;0;0
308;Pablo Maffeo;ESP;DF;Mallorca;1997;2052;1;5;1;0;0
309;Zito Luvumbo;ANG;MF,FW;Mallorca;2002;216;0;3;3;0;0
310;David López;ESP;DF;Mallorca;2003;477;0;3;0;0;0
311;Javier Llabrés;ESP;MF;Mallorca;2002;171;0;4;1;0;0
312;Toni Lato;ESP;DF,MF;Mallorca;1997;468;0;0;0;0;0
313;Marash Kumbulla;ALB;DF;Mallorca;2000;423;0;3;0;0;0
314;Justin-Noël Kalumba;FRA;FW;Mallorca;2004;36;0;0;0;0;0
315;Mateo Joseph;ESP;MF,FW;Mallorca;2003;1701;2;33;14;0;0
316;Marc Domenech;ESP;MF;Mallorca;2006;216;0;3;0;0;0
317;Sergi Darder;ESP;MF;Mallorca;1993;2007;1;30;9;0;0
318;Samu Costa;POR;MF;Mallorca;2000;2115;5;25;11;0;0
319;Lucas Bergström;FIN;GK;Mallorca;2002;450;0;0;0;0;0
320;Takuma Asano;JPN;MF,FW;Mallorca;1994;486;1;9;2;0;0
321;Lucas Torró;ESP;MF;Osasuna;1994;1917;0;19;5;0;0
322;Valentin Rosier;FRA;DF,MF;Osasuna;1996;1836;1;11;3;0;0
323;Raúl;ESP;FW;Osasuna;2000;801;5;27;16;0;0
324;Asier Osambela;ESP;DF;Osasuna;2004;297;1;3;1;0;0
325;Aimar Oroz;ESP;MF,FW;Osasuna;2001;1701;0;27;4;0;0
326;Víctor Munoz;ESP;MF,FW;Osasuna;2003;2295;5;70;27;0;0
327;Iker Munoz;ESP;MF;Osasuna;2002;675;0;7;3;0;0
328;Raúl Moro;ESP;MF;Osasuna;2002;342;0;4;0;0;0
329;Jon Moncayola;ESP;MF;Osasuna;1998;2349;0;17;3;0;0
330;Sergio Herrera;ESP;GK;Osasuna;1993;2700;0;0;0;0;0
331;Jorge Herrando;ESP;DF;Osasuna;2001;1404;0;3;0;0;0
332;Moi Gómez;ESP;MF;Osasuna;1994;981;0;11;2;0;0
333;Rubén García;ESP;MF,FW;Osasuna;1993;1701;2;22;7;0;0
334;Javi Galán;ESP;DF;Osasuna;1994;1143;0;4;1;0;0
335;Juan Cruz Armada;ESP;DF;Osasuna;1992;603;0;1;0;0;0
336;Catena;ESP;DF;Osasuna;1994;2439;2;14;2;0;0
337;Ante Budimir;CRO;FW;Osasuna;1991;2277;15;77;30;5;6
338;Abel Bretones;ESP;MF,DF;Osasuna;2000;1431;1;11;3;0;0
339;Enzo Boyomo;CMR;DF;Osasuna;2001;1908;1;6;2;0;0
340;Iker Benito;ESP;MF;Osasuna;2002;153;1;2;1;0;0
341;Sheraldo Becker;SUR;FW,MF;Osasuna;1995;162;0;3;0;0;0
342;Kike Barja;ESP;MF;Osasuna;1997;324;1;4;2;0;0
343;Inigo Arguibide;ESP;DF;Osasuna;2005;189;0;0;0;0;0
344;Federico Vinas;URU;FW,MF;Oviedo;1998;1845;7;42;19;2;2
345;Nacho Vidal;ESP;DF;Oviedo;1995;1665;0;9;3;0;0
346;Kwasi Sibo;GHA;MF;Oviedo;1998;1368;0;8;2;0;0
347;Borja Sánchez Laborde;ESP;MF;Oviedo;1996;18;0;0;0;0;0
348;Salomón Rondón;VEN;FW;Oviedo;1989;1035;2;24;5;0;1
349;Alberto Reina;ESP;MF;Oviedo;1997;1782;3;16;7;0;0
350;Oier Luengo;ESP;DF;Oviedo;1997;225;0;1;0;0;0
351;Javi López;ESP;DF;Oviedo;2002;1260;0;5;0;0;0
352;Luka Ilić;SRB;MF,FW;Oviedo;1999;711;1;9;5;0;0
353;Haissem Hassan;EGY;MF,FW;Oviedo;2002;1611;0;30;7;0;0
354;Álex Forés;ESP;FW;Oviedo;2001;297;0;8;2;0;0
355;Nicolas Fonseca;URU;MF;Oviedo;1998;603;0;6;1;0;0
356;Thiago Fernández;ARG;MF;Oviedo;2004;396;0;7;3;0;0
357;Omar Falah;ESP;DF;Oviedo;2003;18;0;0;0;0;0
358;Marco Esteban;ESP;DF;Oviedo;2006;45;0;0;0;0;0
359;Aarón Escandell;ESP;GK;Oviedo;1995;2700;0;0;0;0;0
360;Ovie Ejaria;ENG;MF;Oviedo;1997;180;0;3;1;0;0
361;Leander Dendoncker;BEL;MF;Oviedo;1995;1332;1;9;4;0;0
362;David Costas;ESP;DF;Oviedo;1995;1611;1;2;1;0;0
363;Santiago Colombatto;ARG;MF;Oviedo;1997;1665;0;12;2;0;0
364;Ilyas Chaira;MAR;MF;Oviedo;2001;1845;4;56;24;0;0
365;Santi Cazorla;ESP;MF;Oviedo;1984;639;0;7;1;0;0
366;David Carmo;ANG;DF;Oviedo;1999;1719;1;10;3;0;0
367;Dani Calvo;ESP;DF;Oviedo;1994;1071;0;1;0;0;0
368;Josip Brekalo;CRO;MF,FW;Oviedo;1998;486;0;9;3;0;0
369;Thiago Borbas;URU;FW;Oviedo;2002;81;0;3;1;0;0
370;Rahim Bonkano;NIG;DF;Oviedo;2002;1449;0;2;0;0;0
371;Eric Bailly;CIV;DF;Oviedo;1994;864;1;4;1;0;0
372;Lucas Ahijado;ESP;DF;Oviedo;1995;972;0;8;2;0;0
373;Pablo Agudín;ESP;MF;Oviedo;2007;81;0;2;0;0;0
374;Jozhua Vertrouwd;NED;DF;Rayo Vallecano;2004;279;0;1;0;0;0
375;Óscar Valentín;ESP;MF;Rayo Vallecano;1994;1692;1;13;4;0;0
376;Óscar Trejo;ARG;FW,MF;Rayo Vallecano;1988;81;0;1;1;0;0
377;Andrei Ratiu;ROU;DF;Rayo Vallecano;1998;2313;0;26;8;0;0
378;Francisco Perez;ESP;MF,FW;Rayo Vallecano;2002;1098;2;15;8;0;0
379;Isaac Palazón Camacho;ESP;MF,FW;Rayo Vallecano;1994;2088;3;42;12;2;3
380;Randy Nteka;ANG;FW,MF;Rayo Vallecano;1997;126;1;5;1;0;0
381;Nobel Mendy;SEN;DF;Rayo Vallecano;2004;1413;2;11;3;0;0
382;Carlos Martín;ESP;MF,FW;Rayo Vallecano;2002;306;0;4;1;0;0
383;Unai López;ESP;MF;Rayo Vallecano;1995;1305;0;19;4;0;0
384;Florian Lejeune;FRA;DF;Rayo Vallecano;1991;2691;0;42;12;0;0
385;Gerard Gumbau;ESP;MF;Rayo Vallecano;1994;765;0;9;5;0;0
386;Álvaro García;ESP;MF,FW;Rayo Vallecano;1992;1980;4;47;19;0;0
387;Jorge de Frutos;ESP;FW,MF;Rayo Vallecano;1997;1998;10;49;22;1;1
388;Pelayo Fernandez;ESP;DF;Rayo Vallecano;2003;45;0;1;0;0;0
389;Luiz Felipe;ITA;DF;Rayo Vallecano;1997;468;0;3;1;0;0
390;Alfonso Espino;URU;DF,MF;Rayo Vallecano;1992;1062;2;15;7;0;0
391;Pedro Díaz;ESP;MF,FW;Rayo Vallecano;1998;1413;0;34;5;0;0
392;Pathé Ciss;SEN;MF,DF;Rayo Vallecano;1994;1440;2;15;7;0;0
393;Pep Chavarría;ESP;DF;Rayo Vallecano;1998;2196;1;17;3;0;0
394;Sergio Camello;ESP;FW;Rayo Vallecano;2001;477;0;9;4;0;0
395;Samu Becerra;ESP;MF;Rayo Vallecano;2006;9;0;0;0;0;0
396;Augusto Batalla;ARG;GK;Rayo Vallecano;1996;2700;0;0;0;0;0
397;Iván Balliu;ALB;DF;Rayo Vallecano;1992;333;0;2;0;0;0
398;Alexandre Alemao;BRA;FW;Rayo Vallecano;1998;792;1;14;6;0;0
399;Ilias Akhomach;MAR;MF;Rayo Vallecano;2004;522;0;14;4;0;0
400;Álvaro Vallés;ESP;GK;Real Betis;1997;1890;0;0;0;0;0
401;Aitor Ruibal;ESP;DF,MF;Real Betis;1996;1602;4;30;12;0;0
402;Ricardo Rodríguez;SUI;DF;Real Betis;1992;1206;0;2;0;0;0
403;Marc Roca;ESP;MF;Real Betis;1996;1674;0;12;4;0;0
404;Rodrigo Riquelme;ESP;MF;Real Betis;2000;648;0;19;5;0;0
405;Ángel Ortíz;ESP;DF;Real Betis;2004;585;0;1;0;0;0
406;Natan;BRA;DF;Real Betis;2001;2250;0;8;1;0;0
407;Pau López;ESP;GK;Real Betis;1994;810;0;0;0;0;0
408;Giovani Lo Celso;ARG;MF;Real Betis;1996;1098;2;27;10;0;0
409;Diego Llorente;ESP;DF;Real Betis;1993;720;1;3;2;0;0
410;Isco;ESP;FW,MF;Real Betis;1992;27;0;2;0;0;0
411;Daniel Guerrero;ESP;MF;Real Betis;2005;0;0;0;0;0;0
412;Valentín Gómez;ARG;DF;Real Betis;2003;1422;1;10;4;0;0
413;Pablo Garcia;ESP;MF;Real Betis;2006;387;0;13;4;0;0
414;Pablo Fornals;ESP;MF;Real Betis;1996;2340;7;37;16;0;0
415;Junior Firpo;DOM;DF;Real Betis;1996;675;0;5;0;0;0
416;Álvaro Fidalgo;MEX;MF;Real Betis;1997;441;1;3;2;0;0
417;Abde Ezzalzouli;MAR;MF,FW;Real Betis;2001;1557;5;56;16;0;0
418;Nelson Deossa;COL;MF;Real Betis;2000;603;0;16;0;0;0
419;Cucho;COL;FW;Real Betis;1999;2061;8;72;18;1;1
420;Iván Corralejo;ESP;MF;Real Betis;2007;18;0;0;0;0;0
421;Héctor Bellerín;ESP;DF;Real Betis;1995;1287;1;4;4;0;0
422;Marc Bartra;ESP;DF;Real Betis;1991;1854;1;15;5;0;0
423;Cédric Bakambu;COD;FW;Real Betis;1991;432;3;20;9;0;0
424;Ezequiel Ávila;ARG;FW;Real Betis;1994;351;1;8;2;1;1
425;Antony;BRA;MF,FW;Real Betis;2000;1926;7;68;28;0;0
426;Sofyan Amrabat;MAR;MF;Real Betis;1996;783;0;5;1;0;0
427;Sergi Altimira;ESP;MF;Real Betis;2001;1035;1;5;2;0;0
428;Daniel Yánez;ESP;MF;Real Madrid;2007;36;0;0;0;0;0
429;Federico Valverde;URU;MF,DF;Real Madrid;1998;2286;4;43;16;0;0
430;Victor Valdepenas;ESP;DF;Real Madrid;2006;81;0;0;0;0;0
431;Aurélien Tchouaméni;FRA;MF;Real Madrid;2000;2232;1;36;6;0;0
432;Antonio Rüdiger;GER;DF;Real Madrid;1993;1080;1;11;1;0;0
433;Rodrygo;BRA;MF,FW;Real Madrid;2001;684;1;27;11;0;0
434;Thiago Pinar;ESP;MF;Real Madrid;2007;288;0;3;1;0;0
435;César Palacios;ESP;MF;Real Madrid;2004;54;0;1;0;0;0
436;Éder Militao;BRA;DF;Real Madrid;1998;1035;2;19;9;0;0
437;Ferland Mendy;FRA;DF;Real Madrid;1995;90;0;0;0;0;0
438;Kylian Mbappé;FRA;FW;Real Madrid;1998;2133;23;117;54;8;9
439;Franco Mastantuono;ARG;MF,FW;Real Madrid;2007;783;1;24;5;0;0
440;Andriy Lunin;UKR;GK;Real Madrid;1999;180;0;0;0;0;0
441;Vinicius Júnior;BRA;FW,MF;Real Madrid;2000;2205;11;81;35;4;5
442;David Jiménez;ESP;DF;Real Madrid;2004;72;0;1;1;0;0
443;Dean Huijsen;ESP;DF;Real Madrid;2005;1647;2;17;4;0;0
444;Arda Güler;TUR;MF;Real Madrid;2005;1917;4;47;19;0;0
445;Gonzalo García;ESP;FW;Real Madrid;2004;675;4;14;9;0;0
446;Fran Garcia;ESP;DF,MF;Real Madrid;1999;594;1;5;2;0;0
447;Endrick;BRA;FW;Real Madrid;2006;9;0;0;0;0;0
448;Brahim Díaz;MAR;FW,MF;Real Madrid;1999;765;0;8;2;0;0
449;Thibaut Courtois;BEL;GK;Real Madrid;1992;2520;0;0;0;0;0
450;Jorge Cestero;ESP;MF;Real Madrid;2006;9;0;0;0;0;0
451;Dani Ceballos;ESP;MF;Real Madrid;1996;468;0;3;0;0;0
452;Dani Carvajal;ESP;DF;Real Madrid;1992;657;0;4;1;0;0
453;Álvaro Carreras;ESP;DF;Real Madrid;2003;2061;2;8;2;0;0
454;Eduardo Camavinga;FRA;MF;Real Madrid;2002;1215;1;10;2;0;0
455;Jude Bellingham;ENG;MF;Real Madrid;2003;1341;4;36;19;0;0
456;Raúl Asencio;ESP;DF;Real Madrid;2003;1350;2;13;4;0;0
457;Manuel Ángel;ESP;MF;Real Madrid;2004;90;0;2;1;0;0
458;Trent Alexander-Arnold;ENG;DF,MF;Real Madrid;1998;756;0;6;1;0;0
459;David Alaba;AUT;DF;Real Madrid;1992;243;0;3;1;0;0
460;Diego Aguado;ESP;DF;Real Madrid;2007;27;0;0;0;0;0
461;Igor Zubeldia;ESP;DF;Real Sociedad;1997;1899;0;6;1;0;0
462;Arsen Zakharyan;RUS;MF;Real Sociedad;2003;405;0;14;3;0;0
463;Wesley;BRA;MF;Real Sociedad;2005;63;0;0;0;0;0
464;Benat Turrientes;ESP;MF;Real Sociedad;2002;936;0;16;5;0;0
465;Luka Sučić;CRO;FW,MF;Real Sociedad;2002;639;2;16;5;0;0
466;Orri Steinn Óskarsson;ISL;FW;Real Sociedad;2004;315;4;9;6;0;0
467;Carlos Soler;ESP;MF;Real Sociedad;1997;1692;4;27;17;0;0
468;Umar Sadiq;NGA;FW;Real Sociedad;1997;153;0;4;0;0;0
469;Álex Remiro;ESP;GK;Real Sociedad;1995;2700;0;0;0;0;0
470;Mikel Oyarzabal;ESP;FW;Real Sociedad;1997;2268;12;71;31;5;5
471;Álvaro Odriozola;ESP;DF;Real Sociedad;1995;198;1;1;1;0;0
472;Job Ochieng';KEN;FW;Real Sociedad;2003;27;0;0;0;0;0
473;Aihen Munoz;ESP;DF;Real Sociedad;1997;684;0;5;1;0;0
474;Brais Méndez;ESP;MF,FW;Real Sociedad;1997;1494;6;31;15;1;1
475;Jon Martin;ESP;DF;Real Sociedad;2006;1710;1;14;4;0;0
476;Pablo Marín;ESP;MF;Real Sociedad;2003;1125;0;12;4;0;0
477;Arkaitz Mariezkurrena;ESP;FW;Real Sociedad;2005;0;0;0;0;0;0
478;Takefusa Kubo;JPN;MF;Real Sociedad;2001;1179;2;25;12;0;0
479;Jon Karrikaburu;ESP;FW;Real Sociedad;2002;135;0;6;2;0;0
480;Yangel Herrera;VEN;MF;Real Sociedad;1998;306;0;5;1;0;0
481;Gonçalo Guedes;POR;MF;Real Sociedad;1996;1764;8;44;18;0;0
482;Mikel Goti;ESP;MF;Real Sociedad;2002;72;0;3;0;0;0
483;Jon Gorrotxategi;ESP;MF;Real Sociedad;2002;1908;1;11;1;0;0
484;Urko González;ESP;DF,MF;Real Sociedad;2001;9;0;0;0;0;0
485;Sergio Gómez;ESP;DF;Real Sociedad;2000;2151;0;9;0;0;0
486;Aritz Elustondo;ESP;DF;Real Sociedad;1994;414;0;3;2;0;0
487;Daniel Díaz;ESP;FW;Real Sociedad;2006;18;0;0;0;0;0
488;Gorka Carrera;ESP;FW;Real Sociedad;2005;18;0;0;0;0;0
489;Duje Ćaleta-Car;CRO;DF;Real Sociedad;1996;1611;1;10;2;0;0
490;Ander Barrenetxea;ESP;MF,FW;Real Sociedad;2001;1422;3;28;8;0;0
491;Lander Astiazaran;ESP;MF;Real Sociedad;2006;0;0;1;0;0;0
492;Jon Aramburu;VEN;DF;Real Sociedad;2002;2295;1;18;5;0;0
493;Ibai Aguirre;ESP;MF;Real Sociedad;2007;9;0;0;0;0;0
494;Odysseas Vlachodimos;GRE;GK;Sevilla;1994;2340;0;0;0;0;0
495;Ruben Vargas;SUI;MF,FW;Sevilla;1998;1062;3;25;6;1;1
496;Gabriel Suazo;CHI;DF,MF;Sevilla;1997;1584;0;4;2;0;0
497;Djibril Sow;SUI;MF;Sevilla;1997;1773;5;17;8;0;0
498;Juanlu Sánchez;ESP;MF,DF;Sevilla;2003;1737;0;12;1;0;0
499;Alexis Sánchez;CHI;FW,MF;Sevilla;1988;1062;3;20;7;1;1
500;Kike Salas;ESP;DF;Sevilla;2002;1485;1;11;6;0;0
501;Isaac Romero;ESP;FW;Sevilla;2000;1089;4;31;13;0;1
502;Peque;ESP;MF,FW;Sevilla;2002;873;2;14;6;0;0
503;Adria Pedrosa;ESP;DF,MF;Sevilla;1998;9;0;0;0;0;0
504;Orjan Nyland;NOR;GK;Sevilla;1990;360;0;0;0;0;0
505;Tanguy Nianzou;FRA;DF;Sevilla;2002;657;0;9;0;0;0
506;Batista Mendy;FRA;MF;Sevilla;2000;1584;1;17;5;0;0
507;Neal Maupay;FRA;FW;Sevilla;1996;450;1;4;1;0;0
508;Ramón Martínez;ESP;DF;Sevilla;2002;99;0;0;0;0;0
509;Joaquín Martínez Gauna;ESP;MF,DF;Sevilla;2003;873;1;10;4;0;0
510;Marcao;BRA;DF;Sevilla;1996;936;1;10;2;0;0
511;Dodi Lukebakio;BEL;MF;Sevilla;1997;180;1;2;1;0;0
512;Joan Jordán;ESP;MF;Sevilla;1994;27;0;0;0;0;0
513;Adnan Januzaj;BEL;MF,FW;Sevilla;1995;324;0;7;0;0;0
514;Stanis Idumbo;BEL;MF;Sevilla;2005;45;0;1;0;0;0
515;Nemanja Gudelj;SRB;DF,MF;Sevilla;1991;1953;1;20;5;0;0
516;Federico Gattoni;ARG;DF;Sevilla;1999;9;0;0;0;0;0
517;Chidera Ejuke;NGA;MF,FW;Sevilla;1998;693;1;17;2;0;0
518;Castrin;ESP;DF;Sevilla;2003;729;0;6;1;0;0
519;Carmona;ESP;DF,MF;Sevilla;2002;2043;1;17;3;0;0
520;Fábio Cardoso;POR;DF;Sevilla;1994;297;0;0;0;0;0
521;Manu Bueno;ESP;MF;Sevilla;2004;135;0;1;0;0;0
522;César Azpilicueta;ESP;DF;Sevilla;1989;1035;0;1;0;0;0
523;Miguel Ángel Sierra;ESP;FW;Sevilla;2004;63;0;4;1;0;0
524;Alfon;ESP;MF;Sevilla;1999;315;1;11;7;0;0
525;Lucien Agoume;FRA;MF;Sevilla;2002;2061;1;12;2;0;0
526;Akor Adams;NGA;FW;Sevilla;2000;1665;7;53;26;2;2
527;Jesus Vazquez;ESP;DF,MF;Valencia;2003;738;0;7;2;0;0
528;José Luis García Vayá;ESP;MF;Valencia;1998;1701;2;22;3;1;3
529;Filip Ugrinic;SUI;MF;Valencia;1999;1062;0;15;2;0;0
530;César Tárrega;ESP;DF;Valencia;2002;1881;0;7;1;0;0
531;Baptiste Santamaria;FRA;MF;Valencia;1995;756;1;6;2;0;0
532;Umar Sadiq;NGA;FW;Valencia;1997;522;1;13;4;0;0
533;Guido Rodríguez;ARG;MF;Valencia;1994;585;2;8;2;0;0
534;Luis Rioja;ESP;MF;Valencia;1993;2043;2;35;4;0;0
535;Largie Ramazani;BEL;MF,FW;Valencia;2001;792;5;31;12;3;3
536;Dani Raba;ESP;FW;Valencia;1995;261;0;7;1;0;0
537;Unai Núnez;ESP;DF;Valencia;1997;648;0;5;0;0;0
538;José Luis Gaya;ESP;DF;Valencia;1995;1971;1;10;2;0;0
539;Diego López;ESP;MF,FW;Valencia;2002;1332;3;21;5;0;0
540;Ruben Lendinez;ESP;DF;Valencia;2003;0;0;0;0;0;0
541;Javier Guerra;ESP;MF;Valencia;2003;1557;1;18;6;0;0
542;Dimitri Foulquier;FRA;DF;Valencia;1993;1152;0;6;1;0;0
543;Hugo Duro;ESP;FW;Valencia;1999;1620;9;28;12;1;1
544;Stole Dimitrievski;MKD;GK;Valencia;1993;1080;0;0;0;0;0
545;Mouctar Diakhaby;GUI;DF;Valencia;1996;540;1;4;3;0;0
546;Arnaut Danjuma;NED;MF,FW;Valencia;1997;1566;3;35;14;0;1
547;Thierry Correia;POR;DF,MF;Valencia;1999;1260;0;5;1;0;0
548;Copete;ESP;DF;Valencia;1999;1755;0;13;0;0;0
549;Eray Cömert;SUI;DF;Valencia;1998;1017;2;8;3;0;0
550;Lucas Beltrán;ARG;FW;Valencia;2001;1161;1;29;8;0;0
551;Domingos André Ribeiro Almeida;POR;MF;Valencia;2000;999;0;9;3;0;0
552;Julen Agirrezabala;ESP;GK;Valencia;2000;1620;0;0;0;0;0
553;Renato Veiga;POR;DF;Villarreal;2003;1944;0;8;3;0;0
554;Arnau Tenas;ESP;GK;Villarreal;2001;270;0;0;0;0;0
555;Manor Solomon;ISR;MF;Villarreal;1999;153;1;2;1;0;0
556;Yeremi Pino;ESP;MF;Villarreal;2002;162;0;2;1;0;0
557;Ayoze Pérez;ESP;FW;Villarreal;1993;819;2;13;5;0;0
558;Nicolas Pépé;CIV;MF,FW;Villarreal;1995;1935;5;51;19;0;0
559;Alfonso Pedraza;ESP;DF;Villarreal;1996;1386;1;10;3;0;0
560;Thomas Partey;GHA;MF;Villarreal;1993;756;0;8;1;0;0
561;Daniel Parejo;ESP;MF;Villarreal;1989;1053;0;2;0;0;0
562;Tani Oluwaseyi;CAN;FW;Villarreal;2000;648;2;15;7;0;0
563;Pau Navarro;ESP;DF;Villarreal;2005;1530;0;1;1;0;0
564;Santiago Mourino;URU;DF;Villarreal;2002;1944;1;13;3;0;0
565;Gerard Moreno;ESP;FW;Villarreal;1992;945;8;30;13;2;2
566;Alberto Moleiro;ESP;MF;Villarreal;2003;1962;9;40;18;0;0
567;Georges Mikautadze;GEO;FW;Villarreal;2000;1710;9;51;25;0;0
568;Rafa Marín;ESP;DF;Villarreal;2002;1575;1;4;1;0;0
569;Carlos Macia;ESP;MF;Villarreal;2008;81;0;1;0;0;0
570;Hugo López;ESP;MF;Villarreal;2007;54;0;0;0;0;0
571;Luiz Lúcio Reis Júnior;BRA;GK;Villarreal;2001;2430;0;0;0;0;0
572;Pape Gueye;SEN;MF;Villarreal;1999;1683;4;38;10;1;1
573;Alex Freeman;USA;DF;Villarreal;2004;63;0;1;0;0;0
574;Juan Foyth;ARG;DF;Villarreal;1998;936;0;2;0;0;0
575;Karl Etta Eyong;CMR;FW;Villarreal;2003;252;1;7;3;0;0
576;Santi Comesana;ESP;MF;Villarreal;1996;1980;3;22;7;0;0
577;Sergi Cardona;ESP;DF;Villarreal;1999;1557;0;14;3;0;0
578;Tajon Buchanan;CAN;MF;Villarreal;1999;1548;6;23;9;0;0
579;Adria Altimira;ESP;DF,MF;Villarreal;2001;9;0;0;0;0;0
580;Alfon;ESP;FW;Villarreal;1999;81;0;1;0;0;0
581;Ilias Akhomach;MAR;MF;Villarreal;2004;189;0;6;2;0;0
